id;name;is_main_group;sub_quantity;university_id;open_sub_quantity;university;is_main_group_int;custom_id;custom_university_id
33113779;МКИ (студсовет МФТИ);f;70;297;70;МФТИ (Физтех);0;64;9
57143976;Подслушано РТУ МИРЭА (МТУ);f;37;1187585;37;РТУ МИРЭА;0;125;15
59240455;Подслушано МИФИ;f;41;269;41;НИЯУ МИФИ;0;136;7
491;Comedy Club;f;81;-1;81;Не связана;0;3;16
6507719;Теория Большого Взрыва | по версии Кураж-Бамбей;f;58;-1;58;Не связана;0;29;16
17760452;Snob;f;38;-1;38;Не связана;0;31;16
36618389;Девичье Царство;f;45;-1;45;Не связана;0;71;16
871;МГИМО;f;38;236;38;МГИМО МИД России;0;5;5
26085;ФОПФ МФТИ;f;35;297;35;МФТИ (Физтех);0;20;9
30513532;Говорит НИУ ВШЭ СПБ;f;77;128;77;НИУ ВШЭ (ГУ-ВШЭ);0;52;2
30865126;Типичный МГИМО;f;105;236;105;МГИМО МИД России;0;56;5
36810750;Эстеты МГИМО;f;29;236;29;МГИМО МИД России;0;72;5
43965091;Отдел НИРС МАИ;f;30;219;30;МАИ;0;92;4
58807130;Подслушано в МТУСИ;f;22;293;22;МТУСИ;0;134;8
80799548;Цитатник МГИМО;f;52;236;52;МГИМО МИД России;0;160;5
1489644;Школа Тренинга НИУ ВШЭ;f;29;128;29;НИУ ВШЭ (ГУ-ВШЭ);0;27;2
26274699;Центр карьеры МЭИ (вакансии по специальности);f;34;304;34;НИУ МЭИ;0;45;10
29352303;HSE Alumni - Центр по работе с выпускниками ВШЭ;f;29;128;29;НИУ ВШЭ (ГУ-ВШЭ);0;50;2
47305845;Сплетница МИФИ;f;21;269;21;НИЯУ МИФИ;0;99;7
58421306;Объединённый совет обучающихся НИЯУ МИФИ;f;46;269;46;НИЯУ МИФИ;0;128;7
60095373;Признавашки ВШЭ;f;26;128;26;НИУ ВШЭ (ГУ-ВШЭ);0;138;2
100132311;Студенческий центр НИЯУ МИФИ;f;21;269;21;НИЯУ МИФИ;0;170;7
125553684;«Будь в курсе» | Медиацентр НИЯУ МИФИ;f;33;269;33;НИЯУ МИФИ;0;180;7
142923856;Подслушано РУДН;f;25;338;25;РУДН;0;188;12
166414649;Подслушано МИФИ ∀ ∃;f;23;269;23;НИЯУ МИФИ;0;192;7
40500796;@INSTAGIRLS;f;39;-1;39;Не связана;0;86;16
5562;Факультет ИУ МГТУ им. Н.Э. Баумана;f;50;250;50;МГТУ им. Н. Э. Баумана (бывш. МВТУ);0;17;6
42228365;6 курс Первого МГМУ им. И.М. Сеченова;f;21;215;21;Первый МГМУ им. И. М. Сеченова (Сеченовский Университет);0;88;3
43369725;СОВЕТ ОБУЧАЮЩИХСЯ Сеченовского Университета;f;79;215;79;Первый МГМУ им. И. М. Сеченова (Сеченовский Университет);0;91;3
45770614;Ординатура Сеченовского Университета;f;26;215;26;Первый МГМУ им. И. М. Сеченова (Сеченовский Университет);0;97;3
145005178;Меметика МАИ;f;51;219;51;МАИ;0;189;4
63708206;IT-КОТ;f;41;-1;41;Не связана;0;143;16
3960;Подслушано в МЭИ;f;53;304;53;НИУ МЭИ;0;15;10
40296;Профсоюз студентов МГТУ им. Н.Э. Баумана;f;23;250;23;МГТУ им. Н. Э. Баумана (бывш. МВТУ);0;22;6
298073;ПРОФКОМ МАИ;f;23;219;23;МАИ;0;25;4
341989;Студенты МЭИ;f;46;304;46;НИУ МЭИ;0;26;10
26042525;Маёвец.ru - все новости МАИ;f;24;219;24;МАИ;0;42;4
29914275;Орден МАИ;f;34;219;34;МАИ;0;51;4
30539192;Подслушано студенты МГТУ им. Н.Э. Баумана;f;106;250;106;МГТУ им. Н. Э. Баумана (бывш. МВТУ);0;53;6
31039056;ТИПИЧНЫЙ МЭИ (ТУ);f;24;304;24;НИУ МЭИ;0;58;10
37871506;Бизнес-инкубатор МГИМО | MGIMO Business;f;33;236;33;МГИМО МИД России;0;77;5
55236406;Говорит МАИ;f;35;219;35;МАИ;0;121;4
58637519;Подслушано в МГТУ;f;22;250;22;МГТУ им. Н. Э. Баумана (бывш. МВТУ);0;133;6
61021640;Признавашки в МЭИ;f;25;304;25;НИУ МЭИ;0;141;10
102916829;Волонтёрский центр МАИ;f;21;219;21;МАИ;0;171;4
110581128;Цитаты преподавателей ПГНИУ;f;57;730;57;ПГНИУ (ПГУ);0;177;14
58614200;Подслушано ПНИПУ;f;31;729;31;ПНИПУ (бывш. ПГТУ);0;131;13
1694;ФУПМ МФТИ;f;25;297;25;МФТИ (Физтех);0;11;9
2599;Ассоциация выпускников РТУ МИРЭА;f;55;1187585;55;РТУ МИРЭА;0;14;15
17906;ФАКТ МФТИ;f;26;297;26;МФТИ (Физтех);0;19;9
45382098;Студенческий Медиацентр РТУ МИРЭА;f;37;1187585;37;РТУ МИРЭА;0;96;15
58939492;Подслушано ИТМО;f;33;53;33;Университет ИТМО;0;135;1
64170543;Обнуляй МГИМО;f;31;236;31;МГИМО МИД России;0;144;5
77504235;Перлы преподавателей МГИМО;f;25;236;25;МГИМО МИД России;0;157;5
87263485;ВЫПУСКНИКИ МФТИ;f;34;297;34;МФТИ (Физтех);0;163;9
88599290;Антинаучка МФТИ;f;21;297;21;МФТИ (Физтех);0;164;9
