id;name;is_main_group;sub_quantity;university_id;MGU_quantity;MIFI_quantity;SECH_quantity;MEI_quantity;MGIMO_quantity;HSE_quantity;PNIPU_quantity;MIREA_quantity;MTUSI_quantity;MAI_quantity;PGNIU_quantity;RUDN_quantity;ITMO_quantity;REU_quantity;MGTU_quantity;MFTI_quantity;open_sub_quantity;university;is_main_group_int
42800749;perfо́rmance;f;88;;14;2;9;6;7;15;4;2;1;6;7;5;1;2;7;0;88;;0
44674375;ЙОГА;f;116;;6;2;2;3;2;13;17;4;3;1;14;17;7;14;9;2;116;;0
42072344;The Brain | блог об умном;f;117;;14;2;8;4;9;8;3;8;6;11;6;10;6;3;13;6;117;;0
45023794;Литературная беседка;f;85;;10;0;5;3;7;10;6;2;1;4;8;7;3;13;5;1;85;;0
33301261;Дизайн интерьера;f;118;;9;3;3;0;10;10;15;4;6;2;23;11;3;12;3;4;118;;0
92337511;абстрактные мемы для элиты всех сортов | АМДЭВС;f;86;;22;1;2;0;7;23;0;1;0;2;3;1;5;1;11;7;86;;0
96047932;Мастриды;f;56;;9;0;0;0;18;16;2;1;0;0;2;2;1;1;1;3;56;;0
25749497;Тату и эскизы;f;95;;6;1;5;1;1;8;8;6;1;11;9;15;2;11;9;1;95;;0
32943546;Журнал «Нож»;f;261;;53;4;10;8;20;47;12;4;4;13;28;13;7;9;18;11;261;;0
55059952;Тёмная сторона ФизФака МГУ;f;46;2;41;1;0;1;0;0;0;0;0;1;0;0;0;0;0;2;46;МГУ;0
45842880;The Foundation;f;78;;6;0;0;0;14;45;0;0;0;0;0;1;0;6;4;2;78;;0
43281341;Центр карьеры МФТИ;f;88;297;3;4;0;0;0;1;0;0;0;0;1;0;0;0;0;79;88;МФТИ (Физтех);0
54682800;Economics;f;80;;11;1;0;0;18;35;0;0;0;0;0;1;0;7;4;3;80;;0
69563163;Эстетика ебеней;f;189;;29;7;3;11;12;25;8;11;4;10;21;3;10;3;16;16;189;;0
36047257;Книжный магазин «Циолковский»;f;46;;14;1;0;0;3;17;1;0;0;1;2;0;0;4;0;3;46;;0
211232966;Натальная карта;f;126;;15;4;9;9;2;6;12;6;5;6;11;6;5;17;9;4;126;;0
36775802;Орленок;f;197;;12;10;7;14;11;11;10;11;11;22;9;17;4;15;30;3;197;;0
23727386;Classical Music Humor;f;76;;6;3;2;4;4;10;3;2;2;5;11;3;5;6;4;6;76;;0
78543917;Загнивающий Запад;f;112;;11;2;1;3;17;26;4;4;1;6;3;7;4;4;9;10;112;;0
93856576;В Пхеньяне всегда солнечно;f;60;;7;1;1;3;9;12;0;1;1;5;3;3;3;1;7;3;60;;0
34685858;LIFE IS TRAVEL - журнал о путешествиях;f;63;-1;7;2;0;2;2;5;8;2;2;3;8;6;2;8;4;2;63;Не связана;0
